,Location,Velocity,Time
1302,50.0,8.0,8.0
1303,50.0,8.0,10.0
1304,50.0,8.0,12.0
1305,50.0,8.0,14.0
1306,50.0,8.0,16.0
1307,50.0,8.0,18.0
1308,50.0,8.0,20.0
1309,50.0,9.0,0.0
1310,50.0,9.0,2.0
1311,50.0,9.0,4.0
1312,50.0,9.0,6.0
1313,50.0,9.0,8.0
1314,50.0,9.0,10.0
1315,50.0,9.0,12.0
1316,50.0,9.0,14.0
1317,50.0,9.0,16.0
1318,50.0,9.0,18.0
1319,50.0,9.0,20.0
1320,50.0,10.0,0.0
1321,50.0,10.0,2.0
1322,50.0,10.0,4.0
1323,50.0,10.0,6.0
1324,50.0,10.0,8.0
1325,50.0,10.0,10.0
1326,50.0,10.0,12.0
1327,50.0,10.0,14.0
1328,50.0,10.0,16.0
1329,50.0,10.0,18.0
1330,50.0,10.0,20.0
1331,55.0,0.0,0.0
1332,55.0,0.0,2.0
1333,55.0,0.0,4.0
1334,55.0,0.0,6.0
1335,55.0,0.0,8.0
1336,55.0,0.0,10.0
1337,55.0,0.0,12.0
1338,55.0,0.0,14.0
1339,55.0,0.0,16.0
1340,55.0,0.0,18.0
1341,55.0,0.0,20.0
1342,55.0,1.0,0.0
1343,55.0,1.0,2.0
1344,55.0,1.0,4.0
1345,55.0,1.0,6.0
1346,55.0,1.0,8.0
1347,55.0,1.0,10.0
1348,55.0,1.0,12.0
1349,55.0,1.0,14.0
1350,55.0,1.0,16.0
1351,55.0,1.0,18.0
1352,55.0,1.0,20.0
1353,55.0,2.0,0.0
1354,55.0,2.0,2.0
1355,55.0,2.0,4.0
1356,55.0,2.0,6.0
1357,55.0,2.0,8.0
1358,55.0,2.0,10.0
1359,55.0,2.0,12.0
1360,55.0,2.0,14.0
1361,55.0,2.0,16.0
1362,55.0,2.0,18.0
1363,55.0,2.0,20.0
1364,55.0,3.0,0.0
1365,55.0,3.0,2.0
1366,55.0,3.0,4.0
1367,55.0,3.0,6.0
1368,55.0,3.0,8.0
1369,55.0,3.0,10.0
1370,55.0,3.0,12.0
1371,55.0,3.0,14.0
1372,55.0,3.0,16.0
1373,55.0,3.0,18.0
1374,55.0,3.0,20.0
1375,55.0,4.0,0.0
1376,55.0,4.0,2.0
1377,55.0,4.0,4.0
1378,55.0,4.0,6.0
1379,55.0,4.0,8.0
1380,55.0,4.0,10.0
1381,55.0,4.0,12.0
1382,55.0,4.0,14.0
1383,55.0,4.0,16.0
1384,55.0,4.0,18.0
1385,55.0,4.0,20.0
1386,55.0,5.0,0.0
1387,55.0,5.0,2.0
1388,55.0,5.0,4.0
1389,55.0,5.0,6.0
1390,55.0,5.0,8.0
1391,55.0,5.0,10.0
1392,55.0,5.0,12.0
1393,55.0,5.0,14.0
1394,55.0,5.0,16.0
1395,55.0,5.0,18.0
1396,55.0,5.0,20.0
1397,55.0,6.0,0.0
1398,55.0,6.0,2.0
1399,55.0,6.0,4.0
1400,55.0,6.0,6.0
1401,55.0,6.0,8.0
1402,55.0,6.0,10.0
1403,55.0,6.0,12.0
1404,55.0,6.0,14.0
1405,55.0,6.0,16.0
1406,55.0,6.0,18.0
1407,55.0,6.0,20.0
1408,55.0,7.0,0.0
1409,55.0,7.0,2.0
1410,55.0,7.0,4.0
1411,55.0,7.0,6.0
1412,55.0,7.0,8.0
1413,55.0,7.0,10.0
1414,55.0,7.0,12.0
1415,55.0,7.0,14.0
1416,55.0,7.0,16.0
1417,55.0,7.0,18.0
1418,55.0,7.0,20.0
1419,55.0,8.0,0.0
1420,55.0,8.0,2.0
1421,55.0,8.0,4.0
1422,55.0,8.0,6.0
1423,55.0,8.0,8.0
1424,55.0,8.0,10.0
1425,55.0,8.0,12.0
1426,55.0,8.0,14.0
1427,55.0,8.0,16.0
1428,55.0,8.0,18.0
1429,55.0,8.0,20.0
1430,55.0,9.0,0.0
1431,55.0,9.0,2.0
1432,55.0,9.0,4.0
1433,55.0,9.0,6.0
1434,55.0,9.0,8.0
1435,55.0,9.0,10.0
1436,55.0,9.0,12.0
1437,55.0,9.0,14.0
1438,55.0,9.0,16.0
1439,55.0,9.0,18.0
1440,55.0,9.0,20.0
1441,55.0,10.0,0.0
1442,55.0,10.0,2.0
1443,55.0,10.0,4.0
1444,55.0,10.0,6.0
1445,55.0,10.0,8.0
1446,55.0,10.0,10.0
1447,55.0,10.0,12.0
1448,55.0,10.0,14.0
1449,55.0,10.0,16.0
1450,55.0,10.0,18.0
1451,55.0,10.0,20.0
1452,60.0,0.0,0.0
1453,60.0,0.0,2.0
1454,60.0,0.0,4.0
1455,60.0,0.0,6.0
1456,60.0,0.0,8.0
1457,60.0,0.0,10.0
1458,60.0,0.0,12.0
1459,60.0,0.0,14.0
1460,60.0,0.0,16.0
1461,60.0,0.0,18.0
1462,60.0,0.0,20.0
1463,60.0,1.0,0.0
1464,60.0,1.0,2.0
1465,60.0,1.0,4.0
1466,60.0,1.0,6.0
1467,60.0,1.0,8.0
1468,60.0,1.0,10.0
1469,60.0,1.0,12.0
1470,60.0,1.0,14.0
1471,60.0,1.0,16.0
1472,60.0,1.0,18.0
1473,60.0,1.0,20.0
1474,60.0,2.0,0.0
1475,60.0,2.0,2.0
1476,60.0,2.0,4.0
1477,60.0,2.0,6.0
1478,60.0,2.0,8.0
1479,60.0,2.0,10.0
1480,60.0,2.0,12.0
1481,60.0,2.0,14.0
1482,60.0,2.0,16.0
1483,60.0,2.0,18.0
1484,60.0,2.0,20.0
1485,60.0,3.0,0.0
1486,60.0,3.0,2.0
1487,60.0,3.0,4.0
1488,60.0,3.0,6.0
1489,60.0,3.0,8.0
1490,60.0,3.0,10.0
1491,60.0,3.0,12.0
1492,60.0,3.0,14.0
1493,60.0,3.0,16.0
1494,60.0,3.0,18.0
1495,60.0,3.0,20.0
1496,60.0,4.0,0.0
1497,60.0,4.0,2.0
1498,60.0,4.0,4.0
1499,60.0,4.0,6.0
1500,60.0,4.0,8.0
1501,60.0,4.0,10.0
1502,60.0,4.0,12.0
1503,60.0,4.0,14.0
1504,60.0,4.0,16.0
1505,60.0,4.0,18.0
1506,60.0,4.0,20.0
1507,60.0,5.0,0.0
1508,60.0,5.0,2.0
1509,60.0,5.0,4.0
1510,60.0,5.0,6.0
1511,60.0,5.0,8.0
1512,60.0,5.0,10.0
1513,60.0,5.0,12.0
1514,60.0,5.0,14.0
1515,60.0,5.0,16.0
1516,60.0,5.0,18.0
1517,60.0,5.0,20.0
1518,60.0,6.0,0.0
1519,60.0,6.0,2.0
1520,60.0,6.0,4.0
1521,60.0,6.0,6.0
1522,60.0,6.0,8.0
1523,60.0,6.0,10.0
1524,60.0,6.0,12.0
1525,60.0,6.0,14.0
1526,60.0,6.0,16.0
1527,60.0,6.0,18.0
1528,60.0,6.0,20.0
1529,60.0,7.0,0.0
1530,60.0,7.0,2.0
1531,60.0,7.0,4.0
1532,60.0,7.0,6.0
1533,60.0,7.0,8.0
1534,60.0,7.0,10.0
1535,60.0,7.0,12.0
1536,60.0,7.0,14.0
1537,60.0,7.0,16.0
1538,60.0,7.0,18.0
1539,60.0,7.0,20.0
1540,60.0,8.0,0.0
1541,60.0,8.0,2.0
1542,60.0,8.0,4.0
1543,60.0,8.0,6.0
1544,60.0,8.0,8.0
1545,60.0,8.0,10.0
1546,60.0,8.0,12.0
1547,60.0,8.0,14.0
1548,60.0,8.0,16.0
1549,60.0,8.0,18.0
1550,60.0,8.0,20.0
1551,60.0,9.0,0.0
1552,60.0,9.0,2.0
1553,60.0,9.0,4.0
1554,60.0,9.0,6.0
1555,60.0,9.0,8.0
1556,60.0,9.0,10.0
1557,60.0,9.0,12.0
1558,60.0,9.0,14.0
1559,60.0,9.0,16.0
1560,60.0,9.0,18.0
1561,60.0,9.0,20.0
1562,60.0,10.0,0.0
1563,60.0,10.0,2.0
1564,60.0,10.0,4.0
1565,60.0,10.0,6.0
1566,60.0,10.0,8.0
1567,60.0,10.0,10.0
1568,60.0,10.0,12.0
1569,60.0,10.0,14.0
1570,60.0,10.0,16.0
1571,60.0,10.0,18.0
1572,60.0,10.0,20.0
1573,65.0,0.0,0.0
1574,65.0,0.0,2.0
1575,65.0,0.0,4.0
1576,65.0,0.0,6.0
1577,65.0,0.0,8.0
1578,65.0,0.0,10.0
1579,65.0,0.0,12.0
1580,65.0,0.0,14.0
1581,65.0,0.0,16.0
1582,65.0,0.0,18.0
1583,65.0,0.0,20.0
1584,65.0,1.0,0.0
1585,65.0,1.0,2.0
1586,65.0,1.0,4.0
1587,65.0,1.0,6.0
1588,65.0,1.0,8.0
1589,65.0,1.0,10.0
1590,65.0,1.0,12.0
1591,65.0,1.0,14.0
1592,65.0,1.0,16.0
1593,65.0,1.0,18.0
1594,65.0,1.0,20.0
1595,65.0,2.0,0.0
1596,65.0,2.0,2.0
1597,65.0,2.0,4.0
1598,65.0,2.0,6.0
1599,65.0,2.0,8.0
1600,65.0,2.0,10.0
1601,65.0,2.0,12.0
1602,65.0,2.0,14.0
1603,65.0,2.0,16.0
1604,65.0,2.0,18.0
1605,65.0,2.0,20.0
1606,65.0,3.0,0.0
1607,65.0,3.0,2.0
1608,65.0,3.0,4.0
1609,65.0,3.0,6.0
1610,65.0,3.0,8.0
1611,65.0,3.0,10.0
1612,65.0,3.0,12.0
1613,65.0,3.0,14.0
1614,65.0,3.0,16.0
1615,65.0,3.0,18.0
1616,65.0,3.0,20.0
1617,65.0,4.0,0.0
1618,65.0,4.0,2.0
1619,65.0,4.0,4.0
1620,65.0,4.0,6.0
1621,65.0,4.0,8.0
1622,65.0,4.0,10.0
1623,65.0,4.0,12.0
1624,65.0,4.0,14.0
1625,65.0,4.0,16.0
1626,65.0,4.0,18.0
1627,65.0,4.0,20.0
1628,65.0,5.0,0.0
1629,65.0,5.0,2.0
1630,65.0,5.0,4.0
1631,65.0,5.0,6.0
1632,65.0,5.0,8.0
1633,65.0,5.0,10.0
1634,65.0,5.0,12.0
1635,65.0,5.0,14.0
1636,65.0,5.0,16.0
1637,65.0,5.0,18.0
1638,65.0,5.0,20.0
1639,65.0,6.0,0.0
1640,65.0,6.0,2.0
1641,65.0,6.0,4.0
1642,65.0,6.0,6.0
1643,65.0,6.0,8.0
1644,65.0,6.0,10.0
1645,65.0,6.0,12.0
1646,65.0,6.0,14.0
1647,65.0,6.0,16.0
1648,65.0,6.0,18.0
1649,65.0,6.0,20.0
1650,65.0,7.0,0.0
1651,65.0,7.0,2.0
1652,65.0,7.0,4.0
1653,65.0,7.0,6.0
1654,65.0,7.0,8.0
1655,65.0,7.0,10.0
1656,65.0,7.0,12.0
1657,65.0,7.0,14.0
1658,65.0,7.0,16.0
1659,65.0,7.0,18.0
1660,65.0,7.0,20.0
1661,65.0,8.0,0.0
1662,65.0,8.0,2.0
1663,65.0,8.0,4.0
1664,65.0,8.0,6.0
1665,65.0,8.0,8.0
1666,65.0,8.0,10.0
1667,65.0,8.0,12.0
1668,65.0,8.0,14.0
1669,65.0,8.0,16.0
1670,65.0,8.0,18.0
1671,65.0,8.0,20.0
1672,65.0,9.0,0.0
1673,65.0,9.0,2.0
1674,65.0,9.0,4.0
1675,65.0,9.0,6.0
1676,65.0,9.0,8.0
1677,65.0,9.0,10.0
1678,65.0,9.0,12.0
1679,65.0,9.0,14.0
1680,65.0,9.0,16.0
1681,65.0,9.0,18.0
1682,65.0,9.0,20.0
1683,65.0,10.0,0.0
1684,65.0,10.0,2.0
1685,65.0,10.0,4.0
1686,65.0,10.0,6.0
1687,65.0,10.0,8.0
1688,65.0,10.0,10.0
1689,65.0,10.0,12.0
1690,65.0,10.0,14.0
1691,65.0,10.0,16.0
1692,65.0,10.0,18.0
1693,65.0,10.0,20.0
1694,70.0,0.0,0.0
1695,70.0,0.0,2.0
1696,70.0,0.0,4.0
1697,70.0,0.0,6.0
1698,70.0,0.0,8.0
1699,70.0,0.0,10.0
1700,70.0,0.0,12.0
1701,70.0,0.0,14.0
1702,70.0,0.0,16.0
1703,70.0,0.0,18.0
1704,70.0,0.0,20.0
1705,70.0,1.0,0.0
1706,70.0,1.0,2.0
1707,70.0,1.0,4.0
1708,70.0,1.0,6.0
1709,70.0,1.0,8.0
1710,70.0,1.0,10.0
1711,70.0,1.0,12.0
1712,70.0,1.0,14.0
1713,70.0,1.0,16.0
1714,70.0,1.0,18.0
1715,70.0,1.0,20.0
1716,70.0,2.0,0.0
1717,70.0,2.0,2.0
1718,70.0,2.0,4.0
1719,70.0,2.0,6.0
1720,70.0,2.0,8.0
1721,70.0,2.0,10.0
1722,70.0,2.0,12.0
1723,70.0,2.0,14.0
1724,70.0,2.0,16.0
1725,70.0,2.0,18.0
1726,70.0,2.0,20.0
1727,70.0,3.0,0.0
1728,70.0,3.0,2.0
1729,70.0,3.0,4.0
1730,70.0,3.0,6.0
1731,70.0,3.0,8.0
1732,70.0,3.0,10.0
1733,70.0,3.0,12.0
1734,70.0,3.0,14.0
1735,70.0,3.0,16.0
1736,70.0,3.0,18.0
1737,70.0,3.0,20.0
1738,70.0,4.0,0.0
1739,70.0,4.0,2.0
1740,70.0,4.0,4.0
1741,70.0,4.0,6.0
1742,70.0,4.0,8.0
1743,70.0,4.0,10.0
1744,70.0,4.0,12.0
1745,70.0,4.0,14.0
1746,70.0,4.0,16.0
1747,70.0,4.0,18.0
1748,70.0,4.0,20.0
1749,70.0,5.0,0.0
1750,70.0,5.0,2.0
1751,70.0,5.0,4.0
1752,70.0,5.0,6.0
1753,70.0,5.0,8.0
1754,70.0,5.0,10.0
1755,70.0,5.0,12.0
1756,70.0,5.0,14.0
1757,70.0,5.0,16.0
1758,70.0,5.0,18.0
1759,70.0,5.0,20.0
1760,70.0,6.0,0.0
1761,70.0,6.0,2.0
1762,70.0,6.0,4.0
1763,70.0,6.0,6.0
1764,70.0,6.0,8.0
1765,70.0,6.0,10.0
1766,70.0,6.0,12.0
1767,70.0,6.0,14.0
1768,70.0,6.0,16.0
1769,70.0,6.0,18.0
1770,70.0,6.0,20.0
1771,70.0,7.0,0.0
1772,70.0,7.0,2.0
1773,70.0,7.0,4.0
1774,70.0,7.0,6.0
1775,70.0,7.0,8.0
1776,70.0,7.0,10.0
1777,70.0,7.0,12.0
1778,70.0,7.0,14.0
1779,70.0,7.0,16.0
1780,70.0,7.0,18.0
1781,70.0,7.0,20.0
1782,70.0,8.0,0.0
1783,70.0,8.0,2.0
